beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
2.15,-0.34,3.612B,iRobot Corporation,111.67,41.96,-0.26%,128.82,IRBT,"448,539","802,879"
1.70,-0.31,3.613B,Semtech Corporation,58.18,58.97,-0.57%,54.25,SMTC,"317,495","760,870"
N/A,-0.31,3.635B,"Covetrus, Inc.",40.67,23.32,-0.94%,32.65,CVET,"686,882",2.034M
2.10,+1.74,3.652B,"Teladoc Health, Inc.",82.29,,+3.49%,51.60,TDOC,2.148M,1.51M
1.23,+0.86,3.67B,Cabot Microelectronics Corporation,132.00,26.94,+0.68%,126.74,CCMP,"253,053","278,993"
1.73,+0.23,3.701B,"Manhattan Associates, Inc.",55.00,36.27,+0.40%,57.30,MANH,"312,429","397,456"
1.59,+0.72,3.736B,"Blackbaud, Inc.",76.50,84.91,+0.92%,78.97,BLKB,"273,728","314,145"
1.11,-0.42,3.802B,EchoStar Corporation,63.00,,-1.04%,39.88,SATS,"387,590","395,467"
2.93,0.00,3.806B,"Coherent, Inc.",174.73,16.05,0.00%,156.47,COHR,"290,224","377,203"
N/A,-0.26,3.807B,"Avalara, Inc.",53.67,,-0.47%,54.80,AVLR,"267,762","957,470"
2.01,+0.78,3.832B,"LiveRamp Holdings, Inc.",55.11,4.02,+1.41%,55.93,RAMP,"365,278","806,654"
0.90,+0.26,3.945B,"ACI Worldwide, Inc.",39.00,57.58,+0.77%,33.97,ACIW,"469,726","713,682"
0.92,+0.38,3.958B,Verint Systems Inc.,64.67,60.59,+0.63%,60.59,VRNT,"655,801","499,183"
1.06,+0.91,4.019B,Silicon Laboratories Inc.,90.88,48.82,+0.99%,92.75,SLAB,"214,547","334,387"
N/A,-0.11,4.028B,"CarGurus, Inc.",51.20,63.68,-0.30%,36.30,CARG,1.52M,"783,240"
1.61,+2.10,4.041B,"HealthEquity, Inc.",87.73,55.29,+3.36%,64.69,HQY,1.126M,"833,508"
